,open,high,low,close,volume,Year,Month,Weekday,Day,rsi,sma_50,sma_200,macd,volatility
2012-01-29,4.91,4.91,4.91,4.91,0.0,2012,1,6,29,40.98335894758843,5.2712,,0.08230207247451649,0.0
2012-01-30,5.89,5.9,5.3,5.5,9.0,2012,1,0,30,46.26487993131659,5.315200000000001,,0.028660754383064813,0.6000000000000005
2012-01-31,5.3,5.58,5.3,5.58,15.0,2012,1,1,31,46.95802929955349,5.3628,,-0.007310771237110103,0.28000000000000025
2012-02-01,5.7,6.22,3.8,5.3,110.0,2012,2,2,1,44.780756907089554,5.4034,,-0.05774645915904664,2.42
2012-02-02,5.53,5.99,5.52,5.88,12.0,2012,2,3,2,49.95685117933968,5.4514,,-0.050335713694363626,0.47000000000000064
2012-02-03,5.99,6.28,5.89,6.28,251.0,2012,2,4,3,53.21404714495144,5.505799999999999,,-0.012047115809562747,0.39000000000000057
2012-02-04,6.29,6.35,5.93,6.3,155.0,2012,2,5,4,53.37744637450551,5.5624,,0.019683804080917966,0.41999999999999993
2012-02-05,6.35,6.5,5.94,5.94,67.0,2012,2,6,5,49.99290310134287,5.6122000000000005,,0.015601945828947805,0.5599999999999996
2012-02-06,5.93,6.15,5.6,5.6,47.0,2012,2,0,6,46.964110871015194,5.655400000000001,,-0.01489639833802503,0.5500000000000007
2012-02-07,5.6,5.9,5.2,5.6,29.0,2012,2,1,7,46.964110871015194,5.6974,,-0.03862135290373825,0.7000000000000002
2012-02-08,5.5,5.88,5.5,5.69,165.0,2012,2,2,8,47.93252387189327,5.7341999999999995,,-0.049589663712730214,0.3799999999999999
2012-02-09,5.79,5.87,5.66,5.87,83.0,2012,2,3,9,49.90276418046791,5.760599999999999,,-0.04325897088544295,0.20999999999999996
2012-02-10,5.52,5.89,5.51,5.89,83.0,2012,2,4,10,50.12857597208397,5.790799999999999,,-0.03621060504200724,0.3799999999999999
2012-02-11,5.88,5.88,5.8,5.88,176.0,2012,2,5,11,50.007203524685146,5.825,,-0.031073445420602752,0.08000000000000007
2012-02-12,5.71,5.71,5.5,5.5,1.0,2012,2,6,12,45.498987163421845,5.850600000000001,,-0.05700788223664688,0.20999999999999996
2012-02-13,5.78,5.78,5.55,5.67,64.0,2012,2,0,13,47.76760894333818,5.8774,,-0.06311596940321529,0.23000000000000043
2012-02-14,5.53,5.79,5.5,5.79,99.0,2012,2,1,14,49.36969226451359,5.9078,,-0.05760958790234305,0.29000000000000004
2012-02-15,5.2,5.8,4.56,4.89,128.0,2012,2,2,15,39.56738182133866,5.919,,-0.12443382361644684,1.2400000000000002
2012-02-16,4.9,5.08,4.69,4.69,67.0,2012,2,3,16,37.77257861825622,5.927,,-0.1913253607301586,0.3899999999999997
2012-02-17,4.5,4.98,4.15,4.51,115.0,2012,2,4,17,36.181845125647904,5.9312000000000005,,-0.25591188854597124,0.8300000000000001
2012-02-18,4.67,4.8,4.5,4.67,244.0,2012,2,5,18,38.65489495354001,5.9346000000000005,,-0.2908339614666682,0.2999999999999998
2012-02-19,4.67,4.73,4.14,4.23,254.0,2012,2,6,19,34.67540393187333,5.935,,-0.34997992786930343,0.5900000000000007
2012-02-20,4.38,4.38,4.3,4.38,92.0,2012,2,0,20,37.05449475400912,5.931,,-0.3803651730238551,0.08000000000000007
2012-02-21,4.72,4.72,4.4,4.44,315.0,2012,2,1,21,38.026756480592276,5.9198,,-0.39505030614466996,0.3199999999999994
2012-02-22,4.52,4.58,4.3,4.58,358.0,2012,2,2,22,40.342266602285484,5.9113999999999995,,-0.39088566336303376,0.28000000000000025
2012-02-23,4.47,4.59,4.46,4.51,75.0,2012,2,3,23,39.54664459794289,5.8957999999999995,,-0.3887522747066168,0.1299999999999999
2012-02-24,4.59,5.22,4.55,5.22,714.0,2012,2,4,24,50.261456398031626,5.8888,,-0.3260124143666143,0.6699999999999999
2012-02-25,5.12,5.22,4.95,4.95,37.0,2012,2,5,25,46.860061255709226,5.8548,,-0.2946804734806667,0.2699999999999996
2012-02-26,5.11,5.11,5.0,5.0,119.0,2012,2,6,26,47.567700398238856,5.8348,,-0.2627858705246613,0.11000000000000032
2012-02-27,4.79,5.07,4.78,4.98,40.0,2012,2,0,27,47.29639184636335,5.7984,,-0.23639795230528637,0.29000000000000004
2012-02-28,4.97,5.1,4.95,5.04,309.0,2012,2,1,28,48.24999496194384,5.7592,,-0.20824333885927793,0.14999999999999947
2012-02-29,5.09,5.1,4.71,4.88,440.0,2012,2,2,29,45.86669776591745,5.7307999999999995,,-0.19657527033195787,0.3899999999999997
2012-03-01,4.97,5.0,4.85,4.99,242.0,2012,3,3,1,47.77656742576439,5.687799999999999,,-0.17641851840506195,0.15000000000000036
2012-03-02,4.99,5.05,4.9,5.0,291.0,2012,3,4,2,47.95632993519279,5.6478,,-0.15781800315287686,0.14999999999999947
2012-03-03,4.99,4.99,4.64,4.79,245.0,2012,3,5,3,44.49273726988909,5.6134,,-0.15819859088232935,0.35000000000000053
2012-03-04,4.81,4.99,4.6,4.65,125.0,2012,3,6,4,42.29938518803514,5.5744,,-0.1678620303754057,0.39000000000000057
2012-03-05,4.78,4.81,4.77,4.81,113.0,2012,3,0,5,45.59999936836681,5.544599999999999,,-0.160756610828666,0.040000000000000036
2012-03-06,4.8,5.06,4.77,5.06,518.0,2012,3,1,6,50.376465715320904,5.5028,,-0.13341468257035238,0.29000000000000004
2012-03-07,5.0,5.05,4.95,4.98,296.0,2012,3,2,7,48.89693456777091,5.4604,,-0.1168543150452308,0.09999999999999964
2012-03-08,5.05,5.09,4.93,4.93,373.0,2012,3,3,8,47.94908066468808,5.439,,-0.10653659900651569,0.16000000000000014
2012-03-09,4.94,5.08,4.87,5.01,326.0,2012,3,4,9,49.631459522581444,5.397200000000001,,-0.090857059671265,0.20999999999999996
2012-03-10,5.01,5.07,4.93,4.93,277.0,2012,3,5,10,47.96199453212852,5.3713999999999995,,-0.08391887860038505,0.14000000000000057
2012-03-11,4.91,4.99,4.85,4.94,114.0,2012,3,6,11,48.1965651019831,5.3312,,-0.07672892045538848,0.14000000000000057
2012-03-12,4.94,5.0,4.84,5.0,24.0,2012,3,0,12,49.662715746014264,5.295800000000001,,-0.06543503392634165,0.16000000000000014
2012-03-13,4.85,4.99,4.85,4.99,108.0,2012,3,1,13,49.411710177292775,5.2598,,-0.05663856973490855,0.14000000000000057
2012-03-14,4.99,5.32,4.96,5.3,734.0,2012,3,2,14,56.715261238671566,5.235400000000001,,-0.02437195454521035,0.3600000000000003
2012-03-15,5.32,5.44,5.27,5.27,1129.0,2012,3,3,15,55.874558579121015,5.2098,,-0.0012072622507721675,0.17000000000000082
2012-03-16,5.27,5.43,5.27,5.39,633.0,2012,3,4,16,58.52302364164967,5.1914,,0.026528120740604955,0.16000000000000014
2012-03-17,5.3,5.41,5.26,5.26,157.0,2012,3,5,17,54.693146158031446,5.186599999999999,,0.03758543652313051,0.15000000000000036
2012-03-18,5.38,5.42,5.38,5.42,143.0,2012,3,6,18,58.30938985634548,5.1774000000000004,,0.05858378436957423,0.040000000000000036
